student_id,frequency
63190229,7
63200155,6
63190323,6
63190190,6
63190124,6
63190245,5
63210324,5
63210153,5
63200465,5
63190127,5
63200208,5
63190107,5
63220140,4
63200079,4
63190341,4
63200148,4
63220101,4
63200358,4
63200204,4
63220200,4
63210282,4
63220497,4
63190352,4
63190295,4
63220500,4
63190442,4
63210032,4
63190082,4
63200267,4
63200065,4
63200098,4
63190222,4
63190215,4
63190271,4
63190057,4
63200486,3
63210120,3
63190214,3
63190100,3
63200159,3
63190293,3
63220244,3
63220292,3
63220064,3
63210219,3
63190046,3
63190343,3
63190103,3
63200192,3
63190299,3
63190288,3
63190266,3
63210239,3
63190165,3
63220524,3
63190095,3
63210100,3
63190342,3
63190205,3
63200276,3
63190278,3
63220377,3
63200252,2
63230231,2
63210344,2
63210267,2
63210225,2
63230360,2
63230321,2
63200089,2
63230202,2
63230123,2
63190256,2
63230116,2
63230025,2
63200337,2
63210439,2
63210058,2
63210064,2
63190274,2
63200152,2
63200111,2
63190225,2
63190318,2
63220351,2
63210410,2
63190133,2
63220294,2
63200246,2
63220143,2
63210170,2
63210194,2
63200482,2
63200249,2
63210105,2
63200242,2
63200296,2
63190251,2
63190344,2
63220187,2
63210278,2
63210348,2
63220159,2
63220297,2
63200484,2
63200193,2
63210315,2
63220061,2
63220030,2
63210260,2
63210130,2
63200105,2
63190009,2
63220231,2
63200308,2
63220265,2
63220274,2
63200198,2
63190198,2
63220289,2
63210205,2
63220306,2
63220319,2
63190203,2
63200294,2
63200221,2
63200066,2
63210358,2
63210228,2
63220210,2
63190031,2
63200096,2
63200162,2
63190032,2
63220174,2
63210377,2
63200053,2
63190372,2
63210434,2
63210322,2
63190061,2
63220046,2
63210449,2
63200113,2
63210035,2
63210089,2
63210317,2
63190327,2
63190248,2
63190091,2
63200175,2
63210061,2
63200027,2
63200371,2
63200253,2
63190239,2
63210085,2
63210256,2
63190166,2
63190150,2
63210352,2
63220216,2
63210212,2
63220382,2
63220451,2
63220527,1
63200326,1
63210075,1
63210146,1
63200273,1
63210161,1
63190220,1
63210162,1
63210068,1
63200151,1
63210092,1
63210306,1
63200306,1
63210314,1
63210447,1
63210470,1
63200133,1
63200295,1
63200160,1
63190247,1
63200166,1
63200131,1
63210338,1
63190321,1
63210010,1
63210097,1
63210034,1
63200361,1
63200304,1
63200303,1
63200288,1
63200247,1
63190177,1
63200224,1
63210014,1
63200228,1
63200124,1
63200188,1
63190152,1
63200147,1
63220136,1
63190115,1
63190322,1
63190183,1
63190154,1
63230095,1
63190173,1
63220228,1
63230350,1
63230303,1
63230139,1
63230110,1
63220321,1
63190035,1
63220385,1
63200154,1
63200075,1
63200196,1
